Date,AAPL,MSFT,SPY
2019-01-02,37.6668,95.3129,226.929
2019-01-03,33.9151,91.8045,221.503
2019-01-04,35.3619,96.0834,228.938
2019-01-07,35.2809,96.2065,230.757
2019-01-08,35.9531,96.8953,232.902
2019-01-09,36.5659,98.2982,234.012
2019-01-10,36.6833,97.6639,234.835
2019-01-11,36.3257,96.8953,234.931
2019-01-14,35.7816,96.1968,233.485
2019-01-15,36.5138,98.9542,236.155
2019-01-16,36.9592,99.3054,236.73
2019-01-17,37.176,100.018,238.53
2019-01-18,37.4026,101.54,241.706
2019-01-22,36.5639,99.5984,238.443
2019-01-23,36.7088,100.585,238.931
2019-01-24,36.4222,100.086,239.065
2019-01-25,37.6304,101.024,241.103
2019-01-28,37.2795,99.0215,239.266
2019-01-29,36.8962,97.0241,238.931
2019-01-30,39.4133,100.261,242.711
2019-01-31,39.7009,98.4454,244.838
2019-02-01,39.7176,96.8755,244.96
2019-02-04,40.8489,99.6575,246.703
2019-02-05,41.5446,101.071,247.73
2019-02-06,41.5595,99.93,247.402
2019-02-07,40.7731,99.1973,245.038
2019-02-08,40.8222,99.5885,245.333
2019-02-11,40.585,99.1776,245.479
2019-02-12,40.9347,100.76,248.636
2019-02-13,40.7661,100.681,249.45
2019-02-14,40.9138,100.77,248.893
2019-02-15,40.8252,101.989,251.603
2019-02-19,40.9437,101.941,252.033
2019-02-20,41.2106,101.444,252.57
2019-02-21,40.9751,103.573,251.641
2019-02-22,41.4334,105.048,253.202
2019-02-25,41.734,105.624,253.537
2019-02-26,41.7587,106.357,253.373
2019-02-27,41.8887,106.18,253.258
2019-02-28,41.4787,106.044,252.811
2019-03-01,41.9125,106.514,254.38
2019-03-04,42.1262,106.269,253.433
2019-03-05,42.0494,105.721,253.087
2019-03-06,41.8029,105.769,251.574
2019-03-07,41.3231,104.482,249.469
2019-03-08,41.4197,104.598,248.973
2019-03-11,42.8546,106.807,252.596
2019-03-12,43.3384,107.538,253.518
2019-03-13,43.5277,108.387,255.202
2019-03-14,44.0114,108.476,255.04
2019-03-15,44.584,109.707,256.302
2019-03-18,45.0394,111.288,257.23
2019-03-19,44.6817,111.367,257.297
2019-03-20,45.074,111.24,256.513
2019-03-21,46.7294,113.808,259.404
2019-03-22,45.7635,110.8,254.434
2019-03-25,45.2158,111.377,254.234
2019-03-26,44.7456,111.601,256.142
2019-03-27,45.1499,110.537,254.791
2019-03-28,45.2109,110.684,255.749
2019-03-29,45.4996,111.63,257.355
2019-04-01,45.811,112.657,260.428
2019-04-02,46.4782,112.822,260.561
2019-04-03,46.7935,113.576,260.955
2019-04-04,46.8733,112.989,261.645
2019-04-05,47.1908,113.497,262.917
2019-04-08,47.9368,113.536,263.116
2019-04-09,47.79,112.911,261.759
2019-04-10,48.0562,113.779,262.648
2019-04-11,47.6567,113.908,262.591
2019-04-12,47.637,114.483,264.352
2019-04-15,47.7257,114.572,264.181
2019-04-16,47.7306,114.318,264.352
2019-04-17,48.6581,115.275,263.711
2019-04-18,48.8317,116.768,264.227
2019-04-22,48.9931,117.14,264.457
2019-04-23,49.6989,118.76,266.832
2019-04-24,49.6219,118.34,266.245
2019-04-25,49.1746,122.25,266.086
2019-04-26,48.9399,122.951,267.318
2019-04-29,49.0127,122.834,267.751
2019-04-30,48.0687,123.646,267.893
2019-05-01,50.4311,121.046,265.864
2019-05-02,50.1008,119.477,265.299
2019-05-03,50.7228,122.005,267.893
2019-05-06,49.9373,121.301,266.774
2019-05-07,48.5952,118.829,262.332
2019-05-08,48.602,118.819,261.97
2019-05-09,48.0815,118.819,261.165
2019-05-10,47.4155,120.324,262.496
2019-05-13,44.6599,116.749,255.891
2019-05-14,45.3695,118.069,258.216
2019-05-15,45.9104,119.737,259.702
2019-05-16,45.7045,122.493,262.131
2019-05-17,45.4482,121.663,260.438
2019-05-20,44.0262,119.906,258.696
2019-05-21,44.8689,120.548,261.031
2019-05-22,43.9494,121.291,260.245
2019-05-23,43.2023,119.877,257.058
2019-05-24,43.0349,119.924,257.643
2019-05-28,42.8586,119.867,255.241
2019-05-29,42.6535,118.722,253.518
2019-05-30,42.8754,119.467,254.224
2019-05-31,42.0996,117.511,250.781
2019-06-03,41.67,113.858,250.16
2019-06-04,43.1973,117.004,255.584
